,x,level,slope,curvature
1,-0.017364374856946793,0.3192589478868654,-0.6157549678697591,-0.4975348930971147
2,0.010093429985017829,0.266143751526008,-0.3358061781303081,-0.46837717058084244
3,0.009293727553650554,0.24200743433606897,-0.11922917889949036,-0.25078430004865393
4,0.011434480520730608,0.22281373721203068,-0.039331889090799876,-0.09320901479921107
5,0.011911499618726985,0.20850528020601322,-0.0032975299768200905,-0.0037979540472790063
6,0.011899691977588736,0.19665207970730725,0.011242393555703778,0.040446856462365455
7,0.011581864726365299,0.18626459609665735,0.016889985301199895,0.06000652978070131
8,0.011137982944120231,0.17679371865455318,0.018695375951985227,0.06719242953781457
9,0.010647738554021,0.16797357870918672,0.018896914038240675,0.0685349982852479
10,0.010150462897520182,0.15966924546765604,0.01844286569554443,0.06725685924942537
11,0.00966356604199832,0.15180897764434498,0.017737640211271888,0.06488036373361594
12,0.009194343775153435,0.1443503063755993,0.01695146623269239,0.06210181010907667
13,0.008745415881738813,0.1372644425125622,0.0161551817376836,0.05923090748812099
14,0.008317326630834676,0.13052914137539595,0.015377496558446224,0.056401058257037784
15,0.007909726249558074,0.12412549757693636,0.01462937536965947,0.05366683852302068
16,0.00752190097043455,0.11803650880646588,0.013914356506154135,0.05104817322219912
17,0.00715300607873437,0.11224642724571154,0.013232907603422994,0.04855002071376435
18,0.006802166603166071,0.10674045768195572,0.01258425733693358,0.04617102872144718
19,0.006468519715387866,0.10150460743738332,0.011967162733347081,0.04390729820873318
20,0.006151231767698273,0.09652560281101197,0.01138022865619226,0.04175400247893751
